Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 20, 2013",$0.18,$0.18,$0.00,$0.00
"Mar 19, 2013",$0.01,$0.01,$0.00,$0.00
"Mar 18, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 17, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 16, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 15, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 14, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 12, 2013",$0.01,$0.01,$0.00,$0.00
"Mar 11, 2013",$0.04,$0.03,$0.01,$0.00
"Mar 10, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 09, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 08, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 07, 2013",$0.14,$0.12,$0.02,$0.00
"Mar 06, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 04, 2013",$0.03,$0.01,$0.02,$0.00
"Mar 03, 2013",$0.01,$0.01,$0.00,$0.00
"Mar 01, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 28, 2013",$0.05,$0.04,$0.01,$0.00
"Feb 27, 2013",$0.06,$0.05,$0.02,$0.00
"Feb 26, 2013",$0.03,$0.02,$0.00,$0.00
"Feb 25, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 24, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 22, 2013",$0.12,$0.12,$0.00,$0.00
"Feb 21, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 20, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 19, 2013",$0.06,$0.06,$0.01,$0.00
"Feb 18, 2013",$0.09,$0.08,$0.01,$0.00
"Feb 17, 2013",$0.07,$0.07,$0.00,$0.00
"Feb 14, 2013",$0.04,$0.00,$0.04,$0.00
"Feb 13, 2013",$0.04,$0.02,$0.02,$0.00
"Feb 12, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 11, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 10, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 09, 2013",$0.08,$0.06,$0.02,$0.00
"Feb 08, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 06, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 05, 2013",$0.10,$0.09,$0.01,$0.00
"Feb 04, 2013",$0.25,$0.24,$0.01,$0.00
"Feb 03, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 02, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 31, 2013",$0.11,$0.11,$0.00,$0.00
"Jan 30, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 29, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 27, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 25, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 24, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 22, 2013",$0.02,$0.01,$0.01,$0.00
"Jan 21, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 20, 2013",$0.01,$0.01,$0.00,$0.00
"Jan 18, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 17, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 16, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 14, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 10, 2013",$0.03,$0.03,$0.01,$0.00
"Jan 08, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 07, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 06, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 03, 2013",$0.00,$0.00,$0.00,$0.00
"Dec 25, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 24, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 19, 2012",$0.13,$0.13,$0.00,$0.00
"Dec 18, 2012",$0.04,$0.04,$0.00,$0.00
"Dec 16, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 15, 2012",$0.14,$0.14,$0.00,$0.00
"Dec 12, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 11, 2012",$0.03,$0.00,$0.03,$0.00
"Dec 10, 2012",$0.05,$0.04,$0.02,$0.00
"Dec 09, 2012",$0.12,$0.12,$0.00,$0.00
"Dec 08, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 07, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 06, 2012",$0.07,$0.06,$0.01,$0.00
"Dec 05, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 04, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 03, 2012",$0.05,$0.05,$0.00,$0.00
"Dec 01, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 30, 2012",$0.01,$0.01,$0.00,$0.00
"Nov 27, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 26, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 25, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 24, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 21, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 20, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 19, 2012",$0.13,$0.13,$0.00,$0.00
"Nov 18, 2012",$0.15,$0.13,$0.02,$0.00
"Nov 17, 2012",$0.05,$0.03,$0.02,$0.00
"Nov 15, 2012",$0.04,$0.03,$0.01,$0.00
"Nov 14, 2012",$0.08,$0.05,$0.02,$0.00
"Nov 13, 2012",$0.19,$0.18,$0.01,$0.00
"Nov 12, 2012",$0.08,$0.08,$0.00,$0.00
"Nov 11, 2012",$0.02,$0.00,$0.01,$0.00
"Nov 09, 2012",$0.06,$0.05,$0.01,$0.00
"Nov 08, 2012",$0.06,$0.05,$0.01,$0.00
"Nov 07, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 06, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 05, 2012",$0.22,$0.22,$0.00,$0.00
"Nov 04, 2012",$0.03,$0.00,$0.02,$0.00
"Nov 03, 2012",$0.13,$0.12,$0.01,$0.00
"Nov 02, 2012",$0.36,$0.34,$0.02,$0.00
"Nov 01, 2012",$2.30,$2.29,$0.01,$0.00
"Oct 30, 2012",$0.07,$0.06,$0.01,$0.00
"Oct 29, 2012",$0.02,$0.01,$0.00,$0.00
"Oct 28, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 27, 2012",$0.02,$0.02,$0.00,$0.00
